** CONVERTED FROM demo01_2023_01_20_19_48.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Mon Jan 23 11:00:12 2023
** DATE: Fri Jan 20 19:48:05 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	603622 DISPLAY_COORDS  0 0 1919 1079
INPUT	617388	120
INPUT	632926	120
INPUT	669473	120
INPUT	683047	120
INPUT	699691	120
MSG	699949 TRIALID 0
INPUT	700006	120
INPUT	704667	120
MSG	704706 RECCFG CR 1000 1 1 L
MSG	704706 ELCLCFG BTABLER
MSG	704706 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	704706 THRESHOLDS L 96 244
MSG	704706 ELCL_PROC ELLIPSE  (5)
MSG	704706 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	704707 !MODE RECORD CR 1000 1 1 L
START	704708 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	704708	120
704902	  998.1	  495.2	 3563.0	...
704903	  997.9	  497.8	 3563.0	...
704904	  997.9	  497.4	 3563.0	...
704905	  998.1	  496.9	 3565.0	...
704906	  998.1	  498.0	 3566.0	...
704907	  998.1	  498.0	 3566.0	...
704908	  998.1	  493.8	 3565.0	...
704909	  997.6	  493.8	 3558.0	...
704910	  997.6	  493.8	 3558.0	...
704911	  998.6	  495.4	 3557.0	...
704912	  998.6	  495.4	 3557.0	...
704913	  998.6	  495.4	 3557.0	...
704914	  998.7	  499.2	 3560.0	...
704915	  998.7	  499.2	 3564.0	...
704916	  998.2	  500.5	 3564.0	...
704917	  998.3	  501.5	 3564.0	...
704918	  998.4	  501.5	 3562.0	...
704919	  998.3	  498.3	 3561.0	...
704920	  998.2	  498.3	 3560.0	...
704921	  997.9	  494.2	 3560.0	...
704922	  997.9	  494.2	 3562.0	...
704923	 1000.1	  495.3	 3561.0	...
704924	 1000.1	  495.3	 3561.0	...
704925	  998.1	  495.5	 3568.0	...
704926	  998.1	  495.8	 3568.0	...
704927	  997.8	  496.5	 3568.0	...
704928	  997.6	  496.4	 3568.0	...
704929	  997.6	  496.5	 3568.0	...
704930	  996.1	  496.5	 3567.0	...
704931	  996.1	  496.5	 3567.0	...
704932	  996.3	  496.5	 3569.0	...
704933	  996.3	  498.2	 3569.0	...
704934	  997.0	  498.5	 3569.0	...
704935	  997.0	  498.5	 3568.0	...
704936	  995.8	  495.9	 3567.0	...
704937	  995.8	  495.9	 3566.0	...
704938	  997.2	  498.0	 3566.0	...
704939	  997.2	  498.0	 3573.0	...
704940	  997.9	  498.0	 3573.0	...
704941	  997.9	  498.0	 3573.0	...
704942	  997.9	  496.4	 3573.0	...
704943	  997.9	  496.4	 3568.0	...
704944	  997.8	  496.3	 3568.0	...
704945	  997.8	  496.3	 3568.0	...
704946	  997.8	  496.3	 3568.0	...
704947	  997.4	  497.1	 3568.0	...
704948	  997.4	  497.1	 3570.0	...
704949	  998.8	  497.4	 3571.0	...
704950	  998.8	  497.4	 3571.0	...
704951	  998.8	  497.5	 3571.0	...
704952	  998.9	  498.4	 3572.0	...
704953	  998.9	  498.4	 3566.0	...
704954	  997.2	  499.8	 3566.0	...
704955	  997.1	  500.4	 3574.0	...
704956	  997.1	  500.4	 3574.0	...
704957	  997.5	  498.4	 3573.0	...
704958	  997.9	  498.4	 3573.0	...
704959	  997.9	  498.4	 3574.0	...
704960	  997.7	  501.6	 3574.0	...
704961	  997.7	  501.6	 3573.0	...
704962	  997.2	  500.6	 3573.0	...
704963	  997.3	  499.6	 3583.0	...
704964	  997.4	  499.6	 3583.0	...
704965	  996.9	  499.8	 3576.0	...
704966	  997.0	  500.1	 3576.0	...
704967	  996.8	  501.2	 3577.0	...
704968	  996.8	  501.2	 3577.0	...
704969	  996.8	  501.9	 3578.0	...
704970	  996.8	  501.9	 3578.0	...
704971	  997.1	  500.3	 3578.0	...
704972	  997.5	  500.3	 3579.0	...
704973	  997.6	  500.3	 3578.0	...
704974	  997.6	  499.4	 3576.0	...
704975	  998.3	  498.5	 3572.0	...
704976	  998.8	  498.5	 3572.0	...
704977	  998.9	  504.5	 3582.0	...
