** CONVERTED FROM demo00.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jul 20 11:54:04 2023
** DATE: Thu Jul 20 10:42:47 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	427082 DISPLAY_COORDS  0 0 1919 1079
INPUT	431643	120
INPUT	453379	120
MSG	455733 TRIALID 0
INPUT	455792	120
INPUT	462314	120
MSG	462354 RECCFG CR 1000 1 1 R
MSG	462354 ELCLCFG BTABLER
MSG	462354 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	462354 THRESHOLDS R 97 242
MSG	462354 ELCL_PROC ELLIPSE  (5)
MSG	462354 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	462355 !MODE RECORD CR 1000 1 1 R
START	462356 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	462356	120
462632	  982.7	  553.3	 1794.0	...
462633	  981.4	  559.6	 1794.0	...
462634	  983.3	  559.5	 1794.0	...
462635	  983.3	  559.4	 1794.0	...
462636	  983.3	  557.9	 1800.0	...
462637	  983.3	  557.1	 1800.0	...
462638	  983.3	  556.3	 1800.0	...
462639	  982.2	  556.3	 1800.0	...
462640	  982.2	  555.9	 1797.0	...
462641	  985.6	  555.8	 1797.0	...
462642	  983.4	  555.9	 1803.0	...
462643	  981.8	  554.8	 1803.0	...
462644	  981.8	  553.8	 1805.0	...
462645	  982.1	  555.0	 1805.0	...
462646	  982.4	  555.0	 1806.0	...
462647	  983.4	  554.4	 1805.0	...
462648	  982.5	  554.4	 1804.0	...
462649	  982.7	  553.9	 1804.0	...
462650	  982.7	  553.4	 1824.0	...
462651	  982.7	  553.4	 1824.0	...
462652	  982.0	  558.2	 1815.0	...
462653	  982.0	  560.4	 1815.0	...
462654	  982.3	  560.3	 1815.0	...
462655	  982.3	  561.3	 1818.0	...
462656	  983.4	  561.3	 1818.0	...
462657	  983.4	  555.1	 1813.0	...
462658	  984.1	  555.1	 1811.0	...
462659	  984.1	  554.3	 1812.0	...
462660	  984.2	  553.6	 1812.0	...
462661	  984.2	  553.6	 1799.0	...
462662	  982.2	  553.6	 1799.0	...
462663	  981.7	  553.7	 1808.0	...
462664	  981.7	  559.2	 1808.0	...
462665	  980.9	  559.3	 1808.0	...
